1008261,Eco Creando Marketing- IMPROVE,https://gis.aiesec.org/v2/opportunities/1008261,draft,draft,GV,0,6,2018-12-22,2019-01-15,2019-03-01,UP (University of Panama),2018-10-01,Null,Eco Creando,1,1,Null
1008252,Marketing Juntos Podemos Curundu -IMPROVE,https://gis.aiesec.org/v2/opportunities/1008252,open,open,GV,0,6,2018-12-22,2019-01-08,2019-02-22,UP (University of Panama),2018-10-01,Null,Panama City,1,1,Null
1008251,Empowerment Women Juntos Podemos Curundu- IMPULSE,https://gis.aiesec.org/v2/opportunities/1008251,open,open,GV,1,6,2018-12-22,2019-01-08,2019-02-22,UP (University of Panama),2018-10-01,Null,Panama City,2,2,Null
1008241,English Classes Juntos Podemos Curundu - IMPULSE,https://gis.aiesec.org/v2/opportunities/1008241,open,open,GV,2,6,2018-12-22,2019-01-08,2019-02-22,UP (University of Panama),2018-10-01,Null,Panama City,2,2,Null
1008227,sdfsfaegaeraet,https://gis.aiesec.org/v2/opportunities/1008227,draft,draft,GV,0,6,2018-12-22,2019-01-03,2019-02-17,UP (University of Panama),2018-10-01,Null,Panama City,1,1,Null
1008218,sds,https://gis.aiesec.org/v2/opportunities/1008218,draft,draft,GV,0,6,2018-12-22,2019-01-02,2019-02-16,UP (University of Panama),2018-10-01,Null,Panama City,2,2,Null
1007851,improve eco creando,https://gis.aiesec.org/v2/opportunities/1007851,draft,draft,GV,0,6,2018-12-22,2019-01-10,2019-02-24,UP (University of Panama),2018-09-30,Null,Eco Creando,1,1,Null
1007850,IMPROVE ECO CREANDO,https://gis.aiesec.org/v2/opportunities/1007850,draft,draft,GV,0,6,2018-12-22,2019-01-10,2019-02-24,UP (University of Panama),2018-09-30,Null,Eco Creando,1,1,Null
1007847,Eco Creando Marketing- IMPROVE,https://gis.aiesec.org/v2/opportunities/1007847,draft,draft,GV,0,6,2018-12-22,2019-01-10,2019-02-24,UP (University of Panama),2018-09-30,Null,Eco Creando,1,1,Null
1006787,Marketing -IMPROVE,https://gis.aiesec.org/v2/opportunities/1006787,draft,draft,GV,0,6,2018-12-22,2019-01-02,2019-02-16,UP (University of Panama),2018-09-29,Null,Panama City,1,1,Null
1006785,empowerment women- IMPULSE,https://gis.aiesec.org/v2/opportunities/1006785,draft,draft,GV,0,6,2018-11-22,2019-01-02,2019-02-16,UP (University of Panama),2018-09-29,Null,Panama City,2,2,Null
1006784,English classes,https://gis.aiesec.org/v2/opportunities/1006784,draft,draft,GV,0,6,2018-12-22,2019-01-02,2019-02-16,UP (University of Panama),2018-09-29,Null,Panama City,2,2,Null
1006276,Treasury Analyst,https://gis.aiesec.org/v2/opportunities/1006276,open,open,GT,193,78,2018-11-12,2018-11-12,2020-05-11,UTP,2018-09-28,Business Administration,NESTLÉ,1,1,1300
1005245,Performance & Project Management,https://gis.aiesec.org/v2/opportunities/1005245,draft,draft,GT,202,76,2018-11-23,2018-11-12,2020-04-27,USMA,2018-09-26,Business Administration,Sanofi Aventis,1,1,1300
1004205,Finance assistant,https://gis.aiesec.org/v2/opportunities/1004205,open,unmatched,GT,71,24,2018-09-30,2018-10-07,2019-03-28,USMA,2018-09-25,Business Administration,Sanofi Aventis,1,1,1300
1003809,Marketing Support,https://gis.aiesec.org/v2/opportunities/1003809,removed,removed,GT,90,30,2018-10-30,2018-11-01,2019-05-30,USMA,2018-09-25,Marketing,Sanofi Aventis,1,1,1300
1003799,Desicion Support Specialist,https://gis.aiesec.org/v2/opportunities/1003799,open,realized,GT,84,23,2018-10-12,2018-10-12,2019-03-26,UTP,2018-09-25,Business Administration,Nestlé,1,0,1500
1002339,Digital Marketing - Improve Project,https://gis.aiesec.org/v2/opportunities/1002339,open,open,GV,3,6,2018-11-30,2018-12-03,2019-01-14,UTP,2018-09-22,Null,Pro niños del Darién,1,1,Null
1001714,Human Resources Analyst,https://gis.aiesec.org/v2/opportunities/1001714,removed,removed,GT,257,75,2018-11-29,2018-11-12,2020-04-26,USMA,2018-09-21,Business Administration,Sanofi Aventis,1,1,1300
1001707,Marketing Support Lead,https://gis.aiesec.org/v2/opportunities/1001707,open,approved,GT,84,77,2018-10-18,2018-10-30,2020-04-27,USMA,2018-09-21,Marketing,Sanofi Aventis,1,0,1300
1001036,Digital marketing - Panamá para niños - Improve Project,https://gis.aiesec.org/v2/opportunities/1001036,draft,draft,GV,0,6,2018-09-30,2018-10-07,2018-11-18,UTP,2018-09-21,Null,Panama,1,1,Null
999146,Digital Marketing Sr. Analyst ,https://gis.aiesec.org/v2/opportunities/999146,open,matched,GT,260,78,2018-11-12,2018-11-12,2020-05-11,UTP,2018-09-18,Marketing,DELL Panama- S.A.,1,0,1200
998620,Datacenter Solution Sales Assistant,https://gis.aiesec.org/v2/opportunities/998620,open,open,GT,122,78,2018-11-12,2018-11-12,2020-05-11,UTP,2018-09-17,Business Administration,DELL Panama- S.A.,3,3,1200
998556,Assistant Commercial Manager Central America,https://gis.aiesec.org/v2/opportunities/998556,open,realized,GT,22,26,2018-09-18,2018-09-18,2019-03-19,UTP,2018-09-17,Marketing,JCDecaux Panamá,1,0,1000
998351,Administration - Sembrando en Buena Tierra - Improve Project,https://gis.aiesec.org/v2/opportunities/998351,draft,draft,GV,0,6,2018-11-30,2018-12-03,2019-01-19,UTP,2018-09-17,Null,Panama City,2,2,Null
997954,Digital Marketing - Improve Project,https://gis.aiesec.org/v2/opportunities/997954,open,open,GV,0,6,2019-01-01,2019-01-15,2019-02-26,UTP,2018-09-16,Null,Panamá,1,1,Null
997949,Digital Marketing - Improve Project,https://gis.aiesec.org/v2/opportunities/997949,open,open,GV,3,6,2018-11-16,2018-12-03,2019-01-16,UTP,2018-09-16,Null,Panamá,1,1,Null
997948,Public Relations - Improve Project,https://gis.aiesec.org/v2/opportunities/997948,open,matched,GV,3,6,2018-11-16,2018-12-03,2019-01-16,UTP,2018-09-16,Null,Panamá,2,0,Null
